epoch,ae1_loss,ae2_loss,val_recon_loss
1,0.4128222508499256,0.4112644731425322,0.21745823820432028
2,0.1529224358069209,0.17226118200386947,0.08811613110204537
3,0.10168661897142346,0.1293898383871867,0.06994145798186462
4,0.07715349733972779,0.10870607093406412,0.06066493783146143
5,0.05773538197032534,0.08546684976094045,0.052440973930060863
6,0.049383952318189234,0.06915887764010292,0.04605226047957937
7,0.04380431597550901,0.06092324541308559,0.04180534634118279
8,0.0399253572194049,0.05530205895551122,0.0377343517417709
9,0.03632562802746319,0.047881873593164176,0.034424728248268366
10,0.03215232971482552,0.044333278720911876,0.02992577323069175
11,0.0293201356409834,0.0414278176613152,0.02812652165691058
12,0.027559174135184057,0.038659310505653806,0.025505760063727696
13,0.0255960058599997,0.035543672346438356,0.02411432486648361
14,0.024329016880633738,0.03209859587681981,0.02291144127957523
15,0.02311615147986091,0.03126544990720084,0.021865331567823887
16,0.021173114001822587,0.029453073878987476,0.019963644134501617
17,0.020736037341591258,0.0282456731925217,0.019005704438313842
18,0.01914545708300116,0.02650889177591755,0.017978017606462043
19,0.018935451042265274,0.024782184045761824,0.017426411776492994
20,0.017582289982013978,0.024156950324630506,0.016617791960015893
21,0.0169281258355253,0.022338442862606965,0.015692901719982427
22,0.016385593926175855,0.022255591251170978,0.015393124350036183
23,0.015232163078438204,0.020874733159032006,0.014584259906162819
24,0.014687215300420156,0.02072178620773439,0.013944999935726324
25,0.014291598148142489,0.019832351522591826,0.013300482765771449
26,0.0143686474677032,0.019404909716775783,0.013351481834736964
27,0.013269668203205444,0.017939466186082706,0.012549535875829557
28,0.013262632992476799,0.017805804749234364,0.012779280194081366
29,0.012375824359388879,0.01653152532302416,0.012024476891383529
30,0.011979553723134674,0.016495042444708254,0.011537844004730383
31,0.011837138937642941,0.01718496831241422,0.011648156641361615
32,0.010912910994822876,0.015395539391857501,0.011170461812677482
33,0.010841419365113745,0.01558925650225809,0.010328475618734956
34,0.010464586223511456,0.014632371334860532,0.010163935367017984
35,0.010222277657773633,0.015018817498527754,0.00986744009424001
36,0.00996879181967905,0.014543213066644967,0.01011133671272546
37,0.009573069432427963,0.013970780275905361,0.009556717161710063
38,0.010588555749004276,0.013885342260786833,0.009490675254104039
39,0.009226913299733916,0.012714036117988424,0.009043775809307894
40,0.009423256918895416,0.013720058397246668,0.009268581517972052
41,0.008712839469528543,0.012390323068337658,0.008746277696142593
42,0.008701181128764382,0.012262679175294649,0.008493378447989622
43,0.008161765156098856,0.011962111730379267,0.008196043743131062
44,0.008845813223160803,0.012503744129879544,0.00873348955065012
45,0.008433715207502246,0.011364002743413528,0.008408394098902741
46,0.00800941715715453,0.011482453349834451,0.007977000825727979
47,0.008040712510522168,0.01142688359742841,0.007833758989969889
48,0.007596294516518425,0.010998102124386396,0.0076903531250233454
49,0.007542226924740065,0.01073649280722468,0.007659684730848919
50,0.007781946727146323,0.010708872309456078,0.008610500294404725
