precision,recall,threshold
0.06233048462207666,1.0,0.003531424328684807
0.06233686473207431,1.0,0.0035371691919863224
0.06234962887125672,1.0,0.0035887935664504766
0.06235601290124405,1.0,0.0036003603599965572
0.06236239823869746,1.0,0.0036108549684286118
0.06236878488401864,1.0,0.003613757435232401
0.06237836730513162,1.0,0.003643232397735119
0.06238156209987196,1.0,0.0036535533145070076
0.06238795267120832,1.0,0.003691654885187745
0.0623943445520209,1.0,0.003735522972419858
0.06240073774271223,1.0,0.003751847892999649
0.06240713224368499,1.0,0.003761076834052801
0.06242312423124231,1.0,0.003766218200325966
0.062426323612321255,1.0,0.0037744315341115
0.062432723358449946,1.0,0.003819457022473216
0.06243912441687599,1.0,0.00383159052580595
0.062445526788003074,1.0,0.003835531882941723
0.06245193047223504,1.0,0.003844286547973752
0.062458335469975895,1.0,0.003855859162285924
0.06246474178162983,1.0,0.003887245897203684
0.06247114940760117,1.0,0.0038957977667450905
0.0624903801754656,1.0,0.003904394805431366
0.062496793062753346,1.0,0.003912653308361769
0.06250962278675905,1.0,0.0039513204246759415
0.06251603962428784,1.0,0.004027714487165213
0.06252245777937478,1.0,0.0040376391261816025
0.06252887725242569,1.0,0.004050953779369593
0.06253529804384658,1.0,0.004079429432749748
0.0625481435834232,1.0,0.0040873377583920956
0.06255456833239176,1.0,0.004095625597983599
0.06256742179072276,1.0,0.004138546995818615
0.06257385050089904,1.0,0.004168877378106117
0.06258028053229205,1.0,0.004175370559096336
0.06259314456035768,1.0,0.004182719625532627
0.06260601387818042,1.0,0.004200831521302462
0.06261245052177042,1.0,0.004202139563858509
0.06261566933991364,1.0,0.004218892194330692
0.06262210796915167,1.0,0.004221990238875151
0.06262854792266558,1.0,0.004225929267704487
0.06263498920086392,1.0,0.00426400825381279
0.06264143180415552,1.0,0.004286049399524927
0.06264787573294929,1.0,0.0043220845982432365
0.06265432098765432,1.0,0.0043512978591024876
0.06266721547643549,1.0,0.004368840251117945
0.0626865671641791,1.0,0.004383496008813381
0.06269947493050551,1.0,0.004386806860566139
0.06271238801359283,1.0,0.004415345843881369
0.06272530641672674,1.0,0.004431563429534435
0.06273176761433868,1.0,0.00445428304374218
0.06273823014319563,1.0,0.004463925492018461
0.06275762572135202,1.0,0.004468232858926058
0.06277056277056277,1.0,0.004468493163585663
0.06277703329553655,1.0,0.00447982270270586
0.06278350515463918,1.0,0.004506869241595268
0.06278997834828333,1.0,0.0045102741569280624
0.06280292874084768,1.0,0.004511727951467037
0.06280940594059406,1.0,0.004517920780926943
0.0628126450415141,1.0,0.004521751776337624
0.06281912424570633,1.0,0.004523938987404108
0.06283208666494712,1.0,0.00452820397913456
0.0628385698808234,1.0,0.004551430232822895
0.06284505443475569,1.0,0.0045530060306191444
0.06285154032715827,1.0,0.0045532286167144775
0.06286451612903225,1.0,0.004554645624011755
0.06288398988073726,1.0,0.0045557483099401
0.06288723667905824,1.0,0.004569659940898418
0.06289373128162759,1.0,0.004574575927108526
0.06290997365838541,1.0,0.004581716377288103
0.06291647295831396,1.0,0.004592618905007839
0.06292947558770344,1.0,0.004625038243830204
0.06293597891799721,1.0,0.00463950214907527
0.0629554969762754,1.0,0.0046464670449495316
0.0629652605459057,1.0,0.0046490030363202095
0.06297177127494571,1.0,0.0046497732400894165
0.06297828335056876,1.0,0.004652250558137894
0.06298479677319267,1.0,0.004656837787479162
0.06299131154323541,1.0,0.004662704654037952
0.06301086394205897,1.0,0.004683722276240587
0.06301738410596026,1.0,0.004703624173998833
0.06302064469395147,1.0,0.004709431901574135
0.0630304284827158,1.0,0.004725076723843813
0.0630500051765193,1.0,0.004774095490574837
0.06305653344377718,1.0,0.00478015374392271
0.06306632837984777,1.0,0.004793975967913866
0.06306959403479702,1.0,0.0047957380302250385
0.06307612635939927,1.0,0.004800454713404179
0.0630957314546208,1.0,0.0048045506700873375
0.06309900015541625,1.0,0.004851174540817738
0.06310226919490208,1.0,0.00487815635278821
0.06311534874080216,1.0,0.0048847496509552
0.06312189054726368,1.0,0.0048976680263876915
0.06312843370996164,1.0,0.004908786620944738
0.06314479755300949,1.0,0.004909911658614874
0.06315789473684211,1.0,0.004918504972010851
0.0631644453663849,1.0,0.004932626616209745
0.06317099735490898,1.0,0.004934296943247318
0.06317427385892116,1.0,0.004962227772921324
0.06318738327453828,1.0,0.004963742569088936
0.06320377769705776,1.0,0.004969601985067129
0.06321033784835746,1.0,0.005009464919567108
0.06321689936160274,1.0,0.0050217583775520325
0.06323002647562685,1.0,0.005034971050918102
0.06324315904252557,1.0,0.005092366598546505
0.06324972737186478,1.0,0.005095099098980427
0.06325629706569723,1.0,0.005102963652461767
0.06327272727272727,1.0,0.005105612799525261
0.06328587758495272,1.0,0.00511480588465929
0.06329903336451512,1.0,0.0051150843501091
0.06330232316407672,1.0,0.005132435820996761
0.06331219461482483,1.0,0.005133733619004488
0.06331877729257641,1.0,0.0051620337180793285
0.06333194675540765,1.0,0.005187389440834522
0.06333853354134165,1.0,0.005200851242989302
0.06335830212234707,1.0,0.005213960073888302
0.06337148803329865,1.0,0.0052339863032102585
0.06338467943380516,1.0,0.005239776335656643
0.06339127719371292,1.0,0.005257544573396444
0.06340777760424801,1.0,0.005257677286863327
0.06341438017389493,1.0,0.00527733750641346
0.06342098411871909,1.0,0.00530958129093051
0.06342758943915014,1.0,0.005342160351574421
0.0634441087613293,1.0,0.005468360148370266
0.06345071889977079,1.0,0.005470201838761568
0.0634540244855431,1.0,0.005496025551110506
0.06346394330971238,1.0,0.005501909181475639
0.06347717323327079,1.0,0.005503208376467228
0.06349040867389491,1.0,0.005508100148290396
0.06350696073830753,1.0,0.005510732065886259
0.06351358398081035,1.0,0.005520199425518513
0.06353014813269352,1.0,0.005584415048360825
0.06353346199989568,1.0,0.005626297555863857
0.06354009077155824,1.0,0.00564640574157238
0.0635500365230095,1.0,0.00573942344635725
0.06355666875391358,1.0,0.005763131659477949
0.06356993736951984,1.0,0.0058628953993320465
0.06358653093187157,1.0,0.006150716450065374
0.06360313315926892,1.0,0.006152819842100143
0.06360977647796115,1.0,0.006368488539010286
0.06361309865775318,1.0,0.00643895985558629
0.06361974405850092,1.0,0.006443098187446594
0.06363303902617418,1.0,0.0066246818751096725
0.06363968859397043,1.0,0.006667622830718756
0.06364301389904901,1.0,0.00683803204447031
0.06364966555183947,1.0,0.006970292888581753
0.0636629730294794,1.0,0.007134692277759314
0.06368294468263097,1.0,0.009250721894204617
0.0636896046852123,1.0,0.010971421375870705
0.06369293520891074,1.0,0.013126022182404995
0.06369626608095387,1.0,0.01522206049412489
0.06371292566825339,1.0,0.017492465674877167
0.06372959397237338,1.0,0.017525160685181618
0.063746271000157,1.0,0.018186846747994423
0.06375961890802492,1.0,0.01881471276283264
0.06376629495837914,1.0,0.019025174900889397
0.06378633150039277,1.0,0.01915767788887024
0.06379301314617923,1.0,0.01937393844127655
0.0638063806380638,1.0,0.019457735121250153
0.06381306648504217,1.0,0.01968926563858986
0.06382978723404255,1.0,0.019703321158885956
0.06384317014362093,1.0,0.020072169601917267
0.06385990667435643,1.0,0.02015867456793785
0.06386660374390436,1.0,0.020226459950208664
0.06387330221826,1.0,0.020231878384947777
0.06388000209786542,1.0,0.020248273387551308
0.06389005455308434,1.0,0.02053624764084816
0.06389675794774945,1.0,0.02064003422856331
0.06390681567763261,1.0,0.02066861093044281
0.06391352259012437,1.0,0.020755114033818245
0.06337288669536911,0.9909688013136289,0.020791681483387947
0.06339951675596175,0.9909688013136289,0.020824363455176353
0.06341284018072922,0.9909688013136289,0.0208678487688303
0.06344283837056505,0.9909688013136289,0.020916316658258438
0.06345618001156617,0.9909688013136289,0.021051978692412376
0.06346285293653715,0.9909688013136289,0.02114233188331127
0.06347620299763344,0.9909688013136289,0.021257933229207993
0.06350960273612208,0.9909688013136289,0.021347586065530777
0.06352965945576083,0.9909688013136289,0.021361077204346657
0.06354972884747012,0.9909688013136289,0.021423084661364555
0.06355976829910479,0.9909688013136289,0.02145058661699295
0.06356646302928165,0.9909688013136289,0.021466068923473358
0.06357985672144964,0.9909688013136289,0.021591845899820328
0.06359995784592687,0.9909688013136289,0.02165750227868557
0.063616718494703,0.9909688013136289,0.02171725407242775
0.06362342522797955,0.9909688013136289,0.021874500438570976
0.06366033755274261,0.9909688013136289,0.022038184106349945
0.06367041198501873,0.9909688013136289,0.0221434123814106
0.06369729273312576,0.9909688013136289,0.022153520956635475
0.06371410472972973,0.9909688013136289,0.022155974060297012
0.06372756071805702,0.9909688013136289,0.022172005847096443
0.06374438869817797,0.9909688013136289,0.02225939743220806
0.06376459400919224,0.9909688013136289,0.022308597341179848
0.06377807133421401,0.9909688013136289,0.022330373525619507
0.06380167036684639,0.9909688013136289,0.02235393039882183
0.06381853751387934,0.9909688013136289,0.022367849946022034
0.06382866208355367,0.9909688013136289,0.022401919588446617
0.06385567664797376,0.9909688013136289,0.022411026060581207
0.06385905507645098,0.9909688013136289,0.02242065966129303
0.06387933315691982,0.9909688013136289,0.02250686101615429
0.06388609537924099,0.9909688013136289,0.02254227176308632
0.06390300720033884,0.9909688013136289,0.022569499909877777
0.0639063906390639,0.9909688013136289,0.022635141387581825
0.06391315859147471,0.9909688013136289,0.02263735979795456
0.06393347105249218,0.9909688013136289,0.022662611678242683
0.06395379642876066,0.9909688013136289,0.02268892712891102
0.06396735386082993,0.9909688013136289,0.022695858031511307
