epoch,train_mse,val_mse
1,7969.375299269153,7428.64013671875
2,6549.090095766129,5550.1611328125
3,4238.006635112147,2776.15771484375
4,1743.0383655178932,964.2380981445312
5,901.8450829290574,716.6098022460938
6,692.3393879552042,568.6215209960938
7,571.3519961449408,484.69415283203125
8,505.8529987950479,444.9064025878906
9,466.8302459716797,417.0556640625
10,446.2453091529108,399.39080810546875
11,429.4269020326676,389.052001953125
12,421.9145744077621,377.09906005859375
13,412.68646634009576,367.6751403808594
14,402.18371483587447,357.7196044921875
15,391.84287385017643,348.35614013671875
16,384.7080560499622,342.7597961425781
17,378.4008316532258,333.4938659667969
18,371.53449323100426,326.9507141113281
19,367.58039954400834,323.580078125
20,360.6701911187941,316.4951477050781
21,359.8155867053616,312.1622619628906
22,352.19590759277344,307.9787292480469
23,351.8294471002394,306.3330078125
24,345.88669290850237,300.7648620605469
25,343.8136193060106,296.8286437988281
26,339.8392132174584,296.094482421875
27,336.62794100853705,291.1035461425781
28,334.72791068784653,289.7857360839844
29,333.98697662353516,287.0633544921875
30,328.90145775579634,286.355224609375
31,327.58687517719886,283.2230529785156
32,326.5536366124307,282.5219421386719
33,324.873789633474,279.4122314453125
34,323.83358420095135,278.49700927734375
35,323.31959386025704,277.645263671875
36,321.27401634954634,276.95635986328125
37,318.60626417590726,276.4975280761719
38,320.6385665401336,273.0296936035156
39,315.05679272067164,273.77911376953125
40,314.2541250413464,271.9075622558594
41,314.4728728263609,269.62652587890625
42,309.30139258600053,269.76617431640625
43,307.3632362119613,268.41241455078125
44,309.72545894499746,268.5147399902344
45,310.37025476271106,268.4256896972656
46,311.4644022295552,265.27655029296875
47,309.27911623062624,265.38922119140625
48,307.94626740486393,263.6614990234375
49,304.79527676490045,264.6558837890625
50,304.4003081783172,263.9433898925781
51,304.53740987470076,264.80877685546875
52,302.52650107106854,262.4892578125
53,304.23387244439897,263.0262145996094
54,300.73788058373236,262.35113525390625
55,299.76024332354143,262.35418701171875
56,298.67883399225053,261.69635009765625
57,300.4608796642673,259.55615234375
58,301.73485196021295,258.92730712890625
59,298.4950133292906,260.24273681640625
60,298.76468313893963,261.907470703125
61,294.74695537936304,256.7406311035156
62,294.9375017227665,257.0235595703125
63,295.6186501287645,256.44677734375
64,293.5652556880828,256.1313781738281
65,293.34730529785156,254.57386779785156
66,293.5054446804908,256.53179931640625
67,291.9629671650548,253.29457092285156
68,291.00082102129534,254.29310607910156
69,292.2435797414472,252.42562866210938
70,290.1653567898658,251.5658416748047
71,286.9163323679278,251.7946014404297
72,287.4565948978547,252.31651306152344
73,289.96100468789376,251.4898681640625
74,286.84200213032386,249.45687866210938
75,289.2955834173387,251.74974060058594
76,284.6759215324156,249.32489013671875
77,286.1990799442414,251.6765899658203
78,283.40984935145224,249.02882385253906
79,285.0785921158329,247.76124572753906
80,283.1035572175057,246.16122436523438
